"Date","Open","High","Low","Close","MA ‌ma‌ (13,ema,0)","MA ‌ma‌ (20,ema,0,n)","MA ‌ma‌ (100,ema,0,n)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Bullish ‌dsCandle‌"
"Thu Jul 27 2023 09:15:00 GMT+0530 (India Standard Time)","19850.90","19863.65","19825.90","19844.40","19796.60","19789.77","19753.84","19832.79","19799.59","19766.39","19844.40"
"Thu Jul 27 2023 09:30:00 GMT+0530 (India Standard Time)","19843.95","19867.50","19839.65","19855.65","19805.03","19796.04","19755.85","19843.58","19802.35","19761.12","19855.65"
"Thu Jul 27 2023 09:45:00 GMT+0530 (India Standard Time)","19856.15","19857.20","19812.40","19815.30","19806.50","19797.88","19757.03","19844.50","19802.90","19761.29",""
"Thu Jul 27 2023 10:00:00 GMT+0530 (India Standard Time)","19814.15","19823.30","19798.80","19806.65","19806.52","19798.71","19758.01","19844.92","19803.37","19761.81",""
"Thu Jul 27 2023 10:15:00 GMT+0530 (India Standard Time)","19807.30","19819.85","19805.25","19815.35","19807.78","19800.30","19759.15","19846.06","19804.34","19762.62","19815.35"
"Thu Jul 27 2023 10:30:00 GMT+0530 (India Standard Time)","19815.00","19817.25","19792.85","19801.65","19806.91","19800.43","19759.99","19845.84","19804.11","19762.38","19801.65"
"Thu Jul 27 2023 10:45:00 GMT+0530 (India Standard Time)","19801.75","19814.15","19791.80","19795.30","19805.25","19799.94","19760.69","19844.97","19803.25","19761.54","19795.30"
"Thu Jul 27 2023 11:00:00 GMT+0530 (India Standard Time)","19796.30","19798.15","19778.70","19780.60","19801.73","19798.10","19761.08","19844.02","19801.54","19759.07","19780.60"
"Thu Jul 27 2023 11:15:00 GMT+0530 (India Standard Time)","19781.05","19781.05","19729.80","19735.70","19792.30","19792.15","19760.58","19849.78","19798.50","19747.23","19735.70"
"Thu Jul 27 2023 11:30:00 GMT+0530 (India Standard Time)","19737.00","19747.70","19724.25","19735.30","19784.15","19786.74","19760.08","19853.80","19795.58","19737.37","19735.30"
"Thu Jul 27 2023 11:45:00 GMT+0530 (India Standard Time)","19735.75","19754.25","19719.10","19753.55","19779.78","19783.58","19759.95","19854.74","19793.71","19732.69","19753.55"
"Thu Jul 27 2023 12:00:00 GMT+0530 (India Standard Time)","19754.10","19755.95","19737.10","19740.05","19774.11","19779.43","19759.56","19855.47","19790.44","19725.40","19740.05"
"Thu Jul 27 2023 12:15:00 GMT+0530 (India Standard Time)","19739.80","19745.75","19731.45","19737.75","19768.91","19775.46","19759.13","19856.04","19787.30","19718.56","19737.75"
"Thu Jul 27 2023 12:30:00 GMT+0530 (India Standard Time)","19737.85","19738.30","19716.15","19729.30","19763.25","19771.07","19758.54","19856.69","19783.77","19710.86","19729.30"
"Thu Jul 27 2023 12:45:00 GMT+0530 (India Standard Time)","19729.75","19739.90","19718.35","19721.85","19757.34","19766.38","19757.81","19857.80","19780.23","19702.66","19721.85"
"Thu Jul 27 2023 13:00:00 GMT+0530 (India Standard Time)","19722.40","19732.20","19699.10","19732.00","19753.72","19763.10","19757.30","19853.39","19775.69","19697.99",""
"Thu Jul 27 2023 13:15:00 GMT+0530 (India Standard Time)","19731.80","19746.00","19704.40","19704.40","19746.67","19757.51","19756.25","19854.52","19771.31","19688.10","19704.40"
"Thu Jul 27 2023 13:30:00 GMT+0530 (India Standard Time)","19706.05","19707.65","19686.35","19700.95","19740.14","19752.13","19755.16","19856.85","19768.18","19679.50","19700.95"
"Thu Jul 27 2023 13:45:00 GMT+0530 (India Standard Time)","19700.55","19710.85","19681.95","19707.80","19735.52","19747.91","19754.22","19856.41","19764.33","19672.25",""
"Thu Jul 27 2023 14:00:00 GMT+0530 (India Standard Time)","19705.70","19707.45","19682.05","19695.95","19729.87","19742.96","19753.06","19857.11","19760.47","19663.84","19695.95"
"Thu Jul 27 2023 14:15:00 GMT+0530 (India Standard Time)","19695.80","19705.95","19662.80","19664.20","19720.49","19735.46","19751.30","19848.72","19751.46","19654.21","19664.20"
"Thu Jul 27 2023 14:30:00 GMT+0530 (India Standard Time)","19665.20","19667.10","19615.80","19629.70","19707.52","19725.38","19748.90","19838.87","19740.17","19641.46","19629.70"
"Thu Jul 27 2023 14:45:00 GMT+0530 (India Standard Time)","19630.50","19639.70","19604.00","19606.30","19693.06","19714.04","19746.07","19838.17","19729.72","19621.27","19606.30"
"Thu Jul 27 2023 15:00:00 GMT+0530 (India Standard Time)","19606.95","19665.95","19605.60","19664.70","19689.01","19709.34","19744.46","19828.55","19722.62","19616.69","19664.70"
"Thu Jul 27 2023 15:15:00 GMT+0530 (India Standard Time)","19664.65","19708.65","19657.90","19700.20","19690.61","19708.47","19743.58","19814.17","19716.86","19619.55","19700.20"
"Fri Jul 28 2023 09:15:00 GMT+0530 (India Standard Time)","19659.75","19690.30","19599.45","19609.80","19679.06","19699.08","19740.94","19807.05","19707.27","19607.49","19609.80"
"Fri Jul 28 2023 09:30:00 GMT+0530 (India Standard Time)","19610.00","19653.00","19608.90","19636.20","19672.94","19693.09","19738.86","19795.04","19699.31","19603.59",""
"Fri Jul 28 2023 09:45:00 GMT+0530 (India Standard Time)","19637.00","19666.10","19631.80","19645.90","19669.08","19688.59","19737.02","19783.31","19692.58","19601.85","19645.90"
